Gene.Symbol, fold.change,P.Value
hbhA,0.07,0.296406513
accD6,1.39,0.045531248
eis,0.15,0.046978032
pcaA,-0.13,0.18483651
gatA,-0.66,0.092994509
prcB,0.09,0.835051735
trpA,0.15,0.453404059
mtr,0.1,0.689805008
ribD,0.54,0.318631665
rpsD,1.47,0.003046816
ino1,-0.55,0.001249373
nadC,0.21,0.197881421
cmaB,0.05,0.054765948
mabA,-0.05,0.153495387
fhaA,0.46,0.064452457
glpD2,0.36,0.117158304
mihF,1.68,0.003922261
atpFH,0.64,0.182298493
amiC,0.36,0.266801998
rpsC,1.18,0.027926399
fadD13,0.44,0.034195753
pyrG,0.41,0.932364763
groES,1.39,0.003160943
papA2,0.22,0.329443248
serS,0.14,0.443541462
nadE,-0.44,0.002908714
etfB,0.05,0.434110528
purC,-0.89,0.009219037
rplC,0.99,0.059166032
lysS1,0.44,0.695792147
plsB,0.65,0.633723013
bcp,-0.99,0.124394158
pdtaR,-0.35,0.333602535
ethA,0.69,0.555556558
ilvG,-1.28,0.057518904
fadE12,-0.31,0.078235372
rplB,1.11,0.060911631
pheA,-0.2,0.04051374
apeB,-0.63,0.025423958
fgd1,-0.92,0.046859601
murF,-0.3,0.252192774
helY,0.01,0.595788447
argH,-0.28,0.509425942
purD,-0.1,0.069597615
accA1,0.04,0.657621483
argC,-1.13,0.000791749
accD1,0.18,0.173749398
pfkA,-0.17,0.024536329
fadD32,2.28,0.171402146
moeZ,0.18,0.955975131
groEL,-0.6,0.20510393
coaE,-0.68,0.007492568
glpK,-0.55,0.00966927
hom,0.11,0.949882322
pgl,0.05,0.801457114
clpP2,-0.31,0.029859775
glnE,0.74,0.012110315
eccC5,0.5,0.06483903
infB,1.93,0.014926623
rpiB,0.27,0.437923896
pstS1,1.03,0.220735064
glmU,-0.7,0.0245105
guaB,0.92,0.05904342
nuoD,-0.06,0.561890715
galE1,-0.16,0.057243048
ephD,0.05,0.141247248
thiC,-0.15,0.004880416
cmaA1,-0.32,0.051579231
fadA5,-0.89,0.004904311
mutA,-0.19,0.056024403
espK,0.13,0.131294794
ffh,-0.03,0.05149175
crp,-0.29,0.191327214
rpsG,1.26,0.001435113
zwf2,0.25,0.693845398
metZ,0.05,0.594611863
tesA,-0.49,0.023187716
rplA,0.81,0.09079182
glf,0.18,0.510960721
dnaN,-0.01,0.293844633
hsaA,0.08,0.906310118
glgX,0.11,0.075014041
proC,-0.2,0.033699346
mmaA1,-0.37,0.099806485
mntH,-0.04,0.620582903
hsaC,-0.46,0.006072629
tyrS,-0.21,0.447380257
fbpB,-0.42,0.436888137
mutB,-0.15,0.083149636
gpm2,0.33,0.093738361
rph,-0.17,0.001773976
mpa,0.02,0.797581777
chdC,0.11,0.968768019
fadD8,-1.25,0.003638156
bkdC,-0.49,1.94535E-05
hspX,0.33,0.039680099
cyp140,0.8,0.946656237
ilvA,-0.79,0.068490351
fadA6,-0.55,0.017994376
rplQ,0.15,0.404243084
espR,0.22,0.015369408
ppsD,0.85,0.632084225
rplE,0.39,0.115047888
bfrB,-0.85,0.005512173
inhA,-0.37,0.080584885
icd-1,-0.52,0.013657105
dxs,0.19,0.130652493
menD,0.2,0.673013238
fprA,-0.89,0.004162445
lysA,-0.37,0.014765542
cinA,-0.49,0.021225932
eno,2.34,0.152731739
gcvT,-0.96,0.080483489
aroC,-0.44,0.127374178
frr,0.73,0.006655291
ppiA,0.52,0.089002797
bpoC,0.06,0.346190789
alaS,-0.96,0.49420127
glfT2,0.68,0.00173295
trmI,-0.12,0.619721763
sigA,1.35,0.062998405
eccE3,0.4,0.220573122
fbpA,-0.05,0.256408531
dapA,-0.67,0.921474965
zwf1,0.14,0.02912313
sthA,0.37,0.250265028
ask,0.11,0.541734129
dnaX,0.24,0.452607503
mshC,-0.8,0.003520124
hisG,0.17,0.996349371
pyrH,-0.54,0.046800636
aroB,-0.8,0.113300759
pat,-0.23,0.442655468
rpsE,0.69,0.006248881
acpM,2.28,0.000320712
ribBA,-0.31,0.025442443
gltA1,-3.33,0.049793351
prfB,-0.79,0.316757155
glmM,-0.12,0.166341034
trpC,-0.02,0.462065709
fadE26,-0.44,0.168925311
citE,-0.65,0.004060422
cysK1,-0.72,0.002766957
cysNC,-0.25,0.866976187
nrdF1,1.68,0.017275934
nrnA,0.52,0.289144125
lpdA,-0.19,0.013897498
whiA,1,0.008144945
clpP1,0.16,0.74941611
nusA,-0.11,0.777243824
smc,0.86,0.126457059
trpS,-1.16,0.102252124
fadD19,0.53,0.032915292
thyX,0.03,0.278925801
hisC,-0.26,4.61753E-05
murA,-0.41,0.035325885
serB2,-0.11,0.021469967
bagB,0.92,0.201763632
trpD,-0.24,0.073507962
pdxS,0.01,0.041606106
echA8,0.26,0.141889206
fabG3,-0.44,0.008924646
hsaD,0.22,0.232884023
argF,-0.81,0.000873122
prcA,-0.64,0.164935471
rmlC,0.08,0.500583022
espE,-0.76,0.326826487
hemB,-0.05,0.081866941
dapE,0.37,0.440154814
infC,0.8,0.365747327
echA14,-1.82,0.037452482
mtcA2,-0.29,0.015158579
hisD,0.08,0.352625839
coaA,-0.01,0.049727116
rpsI,0.18,0.556161538
lpqH,3.21,0.011258076
parB,1.4,0.007845141
espG5,-0.4,0.00027179
gpgP,-0.54,0.043488619
ppsB,0.8,0.078805802
dapB,-0.91,0.003783859
adk,1.35,0.022594438
qcrA,0.98,0.05806312
mmpL3,1,0.072235409
rmlA,0.11,0.504442869
ftsZ,-0.16,0.181538571
rnj,0.3,0.597162961
mobA,-1.41,0.000610804
dao,-0.7,0.003019054
fmt,-0.14,0.117230149
dhaA,-0.05,0.292184892
cobT,-0.89,0.01317936
tyrA,-0.79,0.006058701
lipM,0.58,0.039255975
pks11,-0.11,0.161040545
rplF,1.4,0.000200599
dnaJ1,0.07,0.068314325
pta,-0.32,0.103935768
argB,-0.51,0.029489407
mshB,-0.02,0.038570896
htrA1,0.56,0.077054251
grpE,1.5,0.005855438
suhB,-0.11,0.449840814
gpsA2,-0.17,1.34039E-05
mshD,0.29,0.9369546
moeA1,0.87,0.199862914
ilvH,0.19,0.674204283
ureC,-0.18,0.410897092
ackA,0.27,0.057119006
eccA5,-0.68,0.009569921
cdh,0.36,0.128472023
sseB,0.16,0.585544822
glgC,-0.38,0.146424157
nrdF2,0.23,0.265653983
cfp32,1.09,0.019790689
ddn,0.7,0.055381287
pra,1.85,0.000383325
alr,0.06,0.323105479
nadA,1,0.002603973
bagA,0.03,0.072254521
rpsS,2.2,0.004037927
murC,0.39,0.742270603
folC,-0.31,0.048243702
add,-0.42,0.021862236
mcr,-0.46,0.003476569
tgs4,-0.67,0.163563728
phoU1,-0.64,0.259594189
hisS,-0.33,0.001567393
rplD,0.75,0.021083388
lipJ,-0.47,0.015414201
espI,0.3,0.321638402
dprE2,-0.09,0.785455061
rpsP,0.85,0.142125842
rplJ,0.06,0.680665196
cysM,-0.32,0.560996844
pknH,0.44,0.860861563
espA,-0.13,0.823325938
choD,0.28,0.468806964
nusG,0.41,0.797448039
mkl,0.91,0.187456733
pup,1.83,0.415256592
kshA,-1.04,0.001521481
pyrB,-0.76,0.010072917
lipV,-1.35,0.043961337
dapC,0.4,0.003635868
ssb,0.28,0.140708027
papA3,0.3,0.001204195
mez,-0.42,0.090873289
hupB,-0.3,0.219648639
menF,1.19,0.282779304
bkdB,0.73,0.475657949
moaE2,-1.54,0.004223476
adhD,-1.76,0.02524259
prrA,0.66,0.198386649
pknG,-0.17,0.669069826
lprF,0.39,0.073311299
mtrA,0.26,0.072630801
bfr,1.73,0.011422278
mycP3,-0.43,0.663875067
tgs1,-0.38,0.319731364
grcC1,-0.32,0.307844727
dnaA,1.13,0.017180932
lipI,-1.16,0.034033429
php,-0.12,0.594567506
