Gene.Symbol, fold.change,P.Value
virR,1.07,0.004423517
thiG,-6.64,0.116118676
amiA2,6.64,0.116130747
mycP2,-0.18,0.395384853
menJ,-6.64,0.116640891
mbcT,-1.7,0.473038487
hrcA,0.07,0.301132119
eccE2,-0.62,0.650481567
relE,0.23,0.12150517
lpqT,-1.33,0.46391884
mazF4,6.64,3.72337E-07
ureA,-2.1,0.052156622
egtA,3.03,0.853991684
embC,6.64,0.11804866
acpS,-0.55,0.102711771
vapC38,0.5,0.300973732
ipdA,6.64,0.116116621
uvrC,6.64,0.116116708
ethR,0,0.123328046
pdxT,1.81,0.48129577
mutT2,6.64,1.19217E-06
vapC4,6.64,0.116117099
sigC,-1.89,0.087522669
ndk,2.73,0.013154824
rpmG2,6.64,2.22007E-10
pcp,-0.12,0.671918965
pepD,0.47,0.033935834
cei,1.04,0.045961931
smpB,-3.68,0.970100268
RNF213,-0.25,0.331516847
aofH,6.64,1.74765E-08
TB22.2,-1.65,0.480796675
stf0,6.64,0.116146279
hemW,-1.35,0.305681569
sigJ,0.57,0.104271641
espC,6.64,8.90405E-09
virS,0.26,0.987828148
Rab39a,0.16,0.111211432
fadE28,0,0.882446399
nuoH,0.61,0.341024124
vapB43,0.61,0.53545203
rodA,6.64,0.116181903
rpmI,-6.64,0.000273748
lpqY,-1.87,0.506728142
darT,1.47,0.001591807
mbtB,2.33,0.082285991
rpsZ,2.74,0.219526184
rpoZ,-1.17,0.972048297
vapB17,6.64,0.116221678
nei1,1.23,0.485828514
mmpL8,0.52,0.783252063
echA12,6.64,3.90481E-08
atpE,-6.64,0.116256936
